dataset,query_id,question_number,question_source,method,arity_f1,entity_set_f1,row_matching_f1,exact_match_f1,status
Dflexlibs,DFLEXLIBS_001,1,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,2,LLM_1,BrickQA,0.8235294117647058,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,3,LLM_2,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_001,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,4,LLM_3,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_001,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,5,LLM_4,BrickQA,0.5714285714285714,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,6,LLM_5,BrickQA,0.75,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,1,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,2,LLM_1,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_002,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,3,LLM_2,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_002,3,LLM_2,Gemini Flash 2.5,,0.3333333333333333,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,4,LLM_3,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,5,LLM_4,BrickQA,0.8,0.07142857142857144,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,6,LLM_5,BrickQA,0.8,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,6,LLM_5,Gemini Flash 2.5,,0.3333333333333333,0.0,0.0,success
Dflexlibs,DFLEXLIBS_003,1,human,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_003,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,2,LLM_1,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,2,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_003,3,LLM_2,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_003,3,LLM_2,Gemini Flash 2.5,,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
Dflexlibs,DFLEXLIBS_003,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,5,LLM_4,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,6,LLM_5,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_003,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,1,human,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_004,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,2,LLM_1,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_004,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,3,LLM_2,BrickQA,0.0,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_004,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,4,LLM_3,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_004,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,5,LLM_4,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,6,LLM_5,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_004,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_005,1,human,BrickQA,1.0,1.0,1.0,1.0,success
Dflexlibs,DFLEXLIBS_005,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_005,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
Dflexlibs,DFLEXLIBS_005,2,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_005,3,LLM_2,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_005,3,LLM_2,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_005,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
Dflexlibs,DFLEXLIBS_005,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_005,5,LLM_4,BrickQA,1.0,1.0,1.0,1.0,success
Dflexlibs,DFLEXLIBS_005,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_005,6,LLM_5,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_005,6,LLM_5,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,1,human,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,1,human,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
Dflexlibs,DFLEXLIBS_006,2,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,3,LLM_2,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,3,LLM_2,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,4,LLM_3,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,4,LLM_3,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,5,LLM_4,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,5,LLM_4,Gemini Flash 2.5,,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,6,LLM_5,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_006,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,success
TUC,TUC_001,1,human,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_001,1,human,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_001,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_001,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_001,3,LLM_2,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_001,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,success
TUC,TUC_001,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_001,4,LLM_3,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_001,5,LLM_4,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_001,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_001,6,LLM_5,BrickQA,1.0,0.5,0.0,0.0,success
TUC,TUC_001,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,success
TUC,TUC_002,1,human,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_002,1,human,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_002,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_002,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_002,3,LLM_2,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_002,3,LLM_2,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_002,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_002,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_002,5,LLM_4,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_002,5,LLM_4,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_002,6,LLM_5,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_002,6,LLM_5,Gemini Flash 2.5,,1.0,1.0,0.0,success
TUC,TUC_003,1,human,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
TUC,TUC_003,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
TUC,TUC_003,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_003,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_003,3,LLM_2,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_003,3,LLM_2,Gemini Flash 2.5,,0.8527131782945736,0.5,0.0,success
TUC,TUC_003,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_003,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_003,5,LLM_4,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_003,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,success
TUC,TUC_003,6,LLM_5,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_003,6,LLM_5,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_004,1,human,BrickQA,0.8,1.0,1.0,0.0,success
TUC,TUC_004,1,human,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_004,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_004,2,LLM_1,Gemini Flash 2.5,,1.0,1.0,0.0,success
TUC,TUC_004,3,LLM_2,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_004,3,LLM_2,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_004,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_004,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_004,5,LLM_4,BrickQA,0.8,0.5,0.0,0.0,success
TUC,TUC_004,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_004,6,LLM_5,BrickQA,0.8,1.0,1.0,0.0,success
TUC,TUC_004,6,LLM_5,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_005,1,human,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_005,1,human,Gemini Flash 2.5,,0.5,0.0,0.0,success
TUC,TUC_005,2,LLM_1,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_005,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_005,3,LLM_2,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_005,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_005,4,LLM_3,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_005,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
TUC,TUC_005,5,LLM_4,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_005,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
TUC,TUC_005,6,LLM_5,BrickQA,1.0,1.0,1.0,1.0,success
TUC,TUC_005,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
bldg11,MORTAR_001,1,human,BrickQA,0.6666666666666666,0.0,0.0,0.0,success
bldg11,MORTAR_001,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,success
