category,dataset,method,total_questions,scored_questions,arity_f1,entity_set_f1,row_matching_f1,exact_match_f1
no-knowledge-graph,bldg11,BrickQA,76,76,0.7545739348370922,0.41771641065866233,0.3556844833423006,0.10364265675578468
no-knowledge-graph,bldg11,Gemini Flash 2.5,76,76,,0.30631150698658677,0.17587392523835788,0.0
no-knowledge-graph,TUC,BrickQA,30,30,0.8488888888888889,0.7833333333333333,0.7,0.6666666666666666
no-knowledge-graph,TUC,Gemini Flash 2.5,30,30,,0.0,0.0,0.0
no-knowledge-graph,Dflexlibs,BrickQA,36,36,0.4907305657305657,0.5317946623093682,0.3194444444444444,0.05555555555555555
no-knowledge-graph,Dflexlibs,Gemini Flash 2.5,36,36,,0.027777777777777776,0.013888888888888888,0.0
100triples,bldg11,BrickQA,76,76,0.8072681704260646,0.47888939092388333,0.41984762211464366,0.1186052614933933
100triples,bldg11,Gemini Flash 2.5,76,76,,0.3700647230213805,0.2312838674001584,0.0
100triples,TUC,BrickQA,30,30,0.9688888888888889,0.9666666666666667,0.9333333333333333,0.8333333333333334
100triples,TUC,Gemini Flash 2.5,30,30,,0.26175710594315243,0.08333333333333333,0.0
100triples,Dflexlibs,BrickQA,36,36,0.6040266106442578,0.5575396825396824,0.5277777777777778,0.16666666666666666
100triples,Dflexlibs,Gemini Flash 2.5,36,36,,0.2962962962962963,0.2638888888888889,0.0
5000triples,bldg11,BrickQA,76,76,0.7559523809523805,0.4067501229841004,0.354385105227739,0.11722215561683252
5000triples,bldg11,Gemini Flash 2.5,76,76,,0.4189708544119002,0.2382400384216561,0.0
5000triples,TUC,BrickQA,30,30,0.9800000000000001,1.0,1.0,0.9
5000triples,TUC,Gemini Flash 2.5,30,30,,0.8648768768768769,0.7102102102102101,0.0
5000triples,Dflexlibs,BrickQA,36,36,0.7902699968876442,0.8384259259259259,0.6622930534220858,0.2361111111111111
5000triples,Dflexlibs,Gemini Flash 2.5,36,36,,0.6754629629629629,0.5925925925925926,0.0
