dataset,query_id,question_number,question_source,method,arity_f1,entity_set_f1,row_matching_f1,exact_match_f1,status
Dflexlibs,DFLEXLIBS_001,1,human,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,2,LLM_1,BrickQA,0.5714285714285714,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,3,LLM_2,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,4,LLM_3,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_001,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,5,LLM_4,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_001,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_001,6,LLM_5,BrickQA,0.46153846153846156,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_001,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,1,human,BrickQA,1.0,0.0196078431372549,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,2,LLM_1,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,3,LLM_2,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,4,LLM_3,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_002,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,5,LLM_4,BrickQA,0.8,0.125,0.0,0.0,success
Dflexlibs,DFLEXLIBS_002,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,6,LLM_5,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_002,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_003,1,human,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,2,LLM_1,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,3,LLM_2,BrickQA,0.6666666666666666,1.0,1.0,0.0,success
Dflexlibs,DFLEXLIBS_003,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,4,LLM_3,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,4,LLM_3,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,5,LLM_4,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,5,LLM_4,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_003,6,LLM_5,BrickQA,0.6666666666666666,1.0,0.5,0.0,success
Dflexlibs,DFLEXLIBS_003,6,LLM_5,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,1,human,BrickQA,0.0,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,1,human,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,2,LLM_1,BrickQA,1.0,0.0,0.0,0.0,success
Dflexlibs,DFLEXLIBS_004,2,LLM_1,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
Dflexlibs,DFLEXLIBS_004,3,LLM_2,BrickQA,0.0,0.0,0.0,0.0,failed
Dflexlibs,DFLEXLIBS_004,3,LLM_2,Gemini Flash 2.5,,0.0,0.0,0.0,no_results
